id,box_completed,dsteps,duplicates,first_move_time,first_push_time,guan_time,num,num_higher_than_sd,optstep,p_optimal,rest_mean,rest_sd,result_flag,same_with_optimal,steps
190104,3,0,0,74.11958,75.43935,84.63781,15,1,20,1.05,0.378825244444,0.754458144782,1,21,20
190104,2,-9,0,193.6445,195.0248,204.8469,16,1,23,0.13043478260869565,0.480102508333,0.937116933184,3,3,14
190104,1,-13,0,6.259995,9.800035,18.20023,17,1,29,0.034482758620689655,0.387149342857,0.444002947664,3,1,16
190104,0,-19,2,2.539998,8.600007,37.46067,18,2,34,0.11764705882352941,0.793345,0.746985292863,3,4,15
190104,0,NA,NA,NA,NA,2.299999,19,NA,NA,NA,NA,NA,3,NA,NA
190104,0,-35,0,13.66012,16.18018,16.34018,20,1,40,0.15,0.500011433333,0.245565674568,3,6,5
190105,3,0,0,3.999997,7.879993,34.10059,1,8,45,1.0222222222222221,0.519455288889,0.41504629472,1,46,45
190105,1,0,0,8.700009,13.74012,19.94027,2,1,17,0.9411764705882353,0.497344653333,0.802933972609,1,16,17
190105,2,-3,0,1.759999,4.119997,21.04029,3,3,20,0.05,0.581549023077,0.660298085779,3,1,17
190105,3,4,1,1.659999,6.979994,21.5803,4,1,27,0.9629629629629629,0.549665775862,0.660404639208,2,26,31
190105,1,-7,0,11.08006,17.0602,46.66088,5,2,42,0.19047619047619047,0.6262643,1.51732927107,3,8,35
190105,2,8,2,2.619998,19.14025,27.86045,6,2,23,1.0,0.545011385714,1.17011761394,2,23,31
190105,2,7,0,6.439995,11.88008,25.04038,7,3,29,0.034482758620689655,0.470634578125,0.238828372223,2,1,36
190105,0,-6,5,8.860013,10.66005,36.16064,8,1,33,0.18181818181818182,0.642414708,1.69066590473,3,6,27
190105,0,-30,2,1.839999,24.42037,52.56101,9,2,44,0.13636363636363635,1.78730573636,4.87138551912,3,6,14
190105,2,-33,0,15.00015,16.40018,32.70056,10,2,46,0.021739130434782608,0.56601281,1.46724094726,3,1,13
190105,1,-4,2,12.90011,16.60019,48.36092,11,2,41,0.3170731707317073,0.567071744118,1.72288913261,3,13,37
190105,1,-10,4,1.799999,26.96043,44.50083,12,3,34,0.17647058823529413,0.859013715,2.63953023799,3,6,24
190105,2,7,2,7.319994,24.18036,44.04082,13,2,36,0.3055555555555556,0.521511575,1.70264971552,2,11,43
190105,2,8,3,4.319997,29.96049,40.68074,14,2,24,1.0,0.680012551724,1.91247937317,2,24,32
190105,2,-4,1,10.90006,13.04011,30.64051,15,3,20,0.05,0.488344508333,1.32656353803,3,1,16
190105,2,10,4,35.46062,47.36089,88.13722,16,4,23,0.043478260869565216,0.985637378571,1.68609665968,3,1,33
190105,1,1,1,17.72021,22.80033,40.98075,17,3,29,0.06896551724137931,0.552320315385,0.578798748962,3,2,30
190105,3,0,0,37.94068,52.64101,76.61916,18,2,34,1.0294117647058822,0.646388893548,2.27164364547,1,35,34
190105,1,48,9,26.50042,39.92072,105.5543,19,8,43,0.18604651162790697,0.564843329268,1.03850406369,3,8,91
190105,2,18,2,16.56019,28.66047,55.26107,20,5,40,0.325,0.488472713462,0.732288911695,2,13,58
190106,3,10,4,5.139996,7.279994,28.22046,1,8,45,1.0222222222222221,0.359572469565,0.189706938944,2,46,55
190106,1,0,0,1.759999,3.999997,9.360024,2,2,17,1.0588235294117647,0.407144778571,0.210798338954,1,18,17
190106,2,18,2,4.299997,4.599997,36.84065,3,2,20,0.05,0.442864842857,0.706309455272,3,1,38
190106,2,3,1,2.159999,6.559995,21.00029,4,3,27,0.14814814814814814,0.510006296154,0.333710827238,3,4,30
190106,2,0,0,0.8599997,7.639994,16.9402,5,5,42,0.9761904761904762,0.347782761111,0.146834514225,1,41,42
190106,0,-4,2,1.459999,7.259994,20.26027,6,2,23,0.34782608695652173,0.4612578125,1.03683890251,3,8,19
190106,2,22,7,0.9199997,10.60005,27.78045,7,3,29,0.9310344827586207,0.394048904255,0.642313962026,2,27,51
190106,2,8,1,0.8399997,3.859997,19.78026,8,4,33,0.3939393939393939,0.383340744444,0.311400037283,2,13,41
190106,0,-21,0,1.179999,5.599996,20.20027,9,2,44,0.045454545454545456,0.474007495,0.69092121369,3,2,23
190106,2,-22,5,0.6799999,5.459996,18.18023,10,1,46,0.17391304347826086,0.54000445,0.671071698622,3,8,24
190106,1,-28,3,1.159999,4.919996,15.22016,11,1,41,0.12195121951219512,0.3963646,1.81853619663,3,5,13
190106,2,10,3,6.639995,9.440026,34.02059,12,1,34,0.6764705882352942,0.400008385714,1.53907896368,2,23,44
190106,0,-21,0,2.759998,8.800012,14.74015,13,1,36,0.3055555555555556,0.386158038462,0.606238520301,3,11,15
190106,1,-10,1,0.58,5.859995,11.94008,14,1,24,0.25,0.458333825,0.534436809848,3,6,14
190106,3,6,2,1.02,2.939998,10.82006,15,2,20,0.6,0.360002573913,0.120541268515,2,12,26
190106,0,-2,3,1.439999,7.939993,18.20023,16,1,23,0.13043478260869565,0.502113426316,0.777776127526,3,3,21
190106,1,-9,3,4.319997,11.86008,26.72042,17,2,29,0.06896551724137931,0.676480858824,1.21912494872,3,2,20
190106,3,0,0,1.14,6.299995,16.60019,18,2,34,1.0294117647058822,0.3606514,0.437953412884,1,35,34
190106,1,-8,0,0.7999998,6.299995,19.04025,19,5,43,0.09302325581395349,0.333108217241,0.279790398909,3,4,35
190106,0,-27,1,4.219997,6.459995,11.62008,20,1,40,0.05,0.374548390909,0.245960653784,3,2,13
190107,3,1,0,1.739999,3.799997,20.40028,1,5,45,0.17777777777777778,0.3635051475,0.170993264366,2,8,46
190107,1,0,0,2.299999,6.119995,11.26007,2,1,17,0.9411764705882353,0.386671446667,0.675737448836,1,16,17
190107,3,2,1,3.319998,7.419994,13.84013,3,3,20,1.05,0.400006166667,0.292638722222,2,21,22
190107,3,0,0,1.439999,3.459997,17.46021,4,2,27,1.037037037037037,0.495839404167,0.516457122726,1,28,27
190107,2,0,0,0.9199997,12.04009,26.60042,5,2,42,0.9761904761904762,0.422058864103,0.917359238646,1,41,42
190107,2,0,0,5.999995,8.039994,15.74017,6,4,23,1.0434782608695652,0.368894688889,0.178474271004,1,24,23
190107,2,23,4,2.759998,28.56046,39.34071,7,3,29,0.3103448275862069,0.490842877083,1.05858562167,2,9,52
190107,2,6,0,6.899994,8.139997,22.24032,8,5,33,0.2727272727272727,0.334552330303,0.20087273583,2,9,39
190107,2,2,0,7.219994,8.500005,26.90042,9,6,44,0.5454545454545454,0.359494912821,0.22819446728,2,24,46
190107,3,0,0,17.48021,19.16025,36.36064,10,5,46,0.4782608695652174,0.3545081325,0.20387632451,1,22,46
